lie ,いる、ある 
lay,置く 
lie ,うそをつく 
rise,上がる
raise,上げる、育てる
grow ,自 成長する 他 育てる
bring,持ってくる
exist,存在する
participate,参加する
evolve,進化する
dive,飛び込む、潜る
leap,跳ぶ
arrive,到着する
depart,出発する
sleep,眠る
walk,歩く
hurry,急ぐ
return,戻る、戻す
travel,旅行する、移動する
appear,現れる、～のように見える
stare,じっと見る
rain,雨が降る
snow,雪がふる
become ,Ｃになる
turn ,Ｃになる
come ,Ｃ（良い状態）になる
go ,Ｃ（悪い状態）になる
fall ,落ちる、Ｃになる
prove ,Ｃと証明する、Ｃとわかる
look ,Ｃに見える
seem ,Ｃのようだ
sound ,Ｃに聞こえる
smell ,Ｃのにおいがする
taste ,Ｃの味がする
stay ,Ｃのままでいる
remain ,Ｃのままでいる
believe ,を信じる
argue ,だと主張する、議論する
indicate ,と示す
imply ,とほのめかす
estimate ,と評価する、見積もる、推定する
reach,～に到達する
visit,～を訪問する
enter,～に入る
approsch,～に近づく
join,一緒に～する
attend,～に出席する
answer,～に答える
marry,～と結婚する
discuss,～を話し合う
follow,～に従う
give,を与える
teach,を教える
show,を見せる
send,を送る
pass,を渡す、伝える
sing,を歌う
write,を書く
read,を読む
buy,を買う
cook,を作ってあげる（料理する）
take,（時間が）かかる
cost,（お金が）かかる
name,（ＯをＣと）なづける
understand,（make oneself undestoodで）通じる
steal,盗む
open,開いた
see,知 見る
hear,知 聞こえる
feel,知 感じる
find,知 分かる
perceive,知 気付く
make,（make O Cで）～させる
have,（have O Cで）～させる、～してもらう
let,（let O Ｖ原型で）～させる
keep,（keep O Cで）保つ
leave,（leave O Cで）ほったらかす
get,（get O Cで）～させる
ask,[人 to V]人にＶするように頼む
allow,[人 to V]人にＶするのを許可する
permit,[人 to V]人にＶするのを許可する
enable,[人 to V]人がＶするのを可能にする
force,[人 to V]人にＶするのを強いる
advise,[人 to V]人にＶするよう助言する
encourage,[人 to V]人にＶするよう励ます
expect,[人 to V]人にＶすることを期待する
determine,[人 to V]人にＶする決心させる
urge,[人 to V]人にＶするよう促す
entitle,[人 to V]人にＶする権利を与える
help,[人 (to) V]人がＶするよう手伝う
regard,[regard A as B]ＡをＢとみなす
view,[view A as B]ＡをＢとみなす
describe,[describe A as B]ＡをＢと描く
already,すでに
yet,まだ、もう
since,～から今まで
ever,決して～ない、これまでに
once,かつて、一度
die,死ぬ
sit,すわる
cut,切る
put,置く
begin,始める・始まる
swim,泳ぐ
skate,スケートをする
ski,スキーをする
camp,キャンプする
hike,ハイキングをする
know,しっている
love,好む
live,住んでいる
belong,所属している
resemble,似ている
own,所有する
when,～するとき
while,～する間
before,～する前に・～の前に
after,～した後、～の後に
if,もし～なら・たとえ～でも・～かどうか
unless,～しない限り
otherwise,さもなければ・その他の点では
wish,願う
can,ありうる
will,～するつもりだ
may,～してもよい・～かもしれない
must,～しなければならない・～にちがいない
shall,～でしょう
should,～するべきだ・～のはずだ
could,～できる
would,～したものだ・するつもり
might,～かもしれない
had better,～しないとまずい
need,～する必要がある・必要とする
want ,望む （toV)
hope ,希望する （toV)
desire ,強く望む （toV)
offer ,申し出る （toV)
plan ,計画する （toV)
promise ,約束する （toV)
decide ,決める （toV)
try ,試みる （toV)
learn ,学ぶ・身につける （toV)
tend ,傾向がある （toV)
happen ,起こる・たまたまＶする （toV)
refuse ,拒む （toV)
remember ,覚えている （文脈）
forget ,忘れる （文脈）
regret ,後悔する （文脈）
fail ,失敗する・～しそこなう （toV）
opportunity,機会
ability,能力
decision,決断
effort,努力
kind,やさしい
careless,不注意な
intelligent,知能が高い
clever,賢い
wise,賢い
foolish,愚かな
stupid,愚かな
rude,無礼な
selfish,わがままな
crazy,正気じゃない
honest,正直な
eager,熱望して
likely,ありそうな
willing,進んで～する
reluctant,気が進まない
liable,～する恐れがある・～しやすい
all,すべての・全部・全員
only,～だけ・唯一の
practice ,練習する Ving
enjoy ,楽しむ Ving
mind ,気にする Ving
consider ,考える Ving
stop ,やめる Ving Ｖするために立ち止まる toV
finish ,終える Ving
avoid,避ける Ving
escape,逃れる Ving
postpone ,延期する Ving
spill,こぼす
interest,興味を持たせる
interesting,興味深い
interested,興味がある
excite,ワクワクさせる
exciting,ワクワクさせるような
excited,ワクワクしている
surprise,驚かせる
surprising,驚かせるような
surprised,驚いた
bore,退屈させる
boring,退屈な
bored,退屈した
tire,疲れさせる
tiring,疲れさせるような
tired,疲れた
please,喜ばせる
satisfy,まんぞくさせる
move,感動させる
touch,感動させる
attract,ひきつける
fascinate,魅了する
depress,落胆させる
disappoint,がっかりさせる
emarrass,恥ずかしい思いをさせる
fold,折りたたむ
frankly,率直に
generally,一般的に
strictly,厳密に
including,～を含めて
according,～によれば
owing,～が原因で
whichever,たとえどれであっても
whatever,たとえなんであっても
whoever,たとえ誰であっても
whomever,たとえ誰であっても
whenever,たとえいつ～しようとも
wherever,たとえどこで～しようとも
worse,より悪い
worst,一番悪い
later,より遅く
latest,最新の
latter,後半の
lesser,小さい方の
siperior,より優れた
inferior,より劣った
senior,年上の
junior,年下の
prefer,好む
twice,二倍・二回
few,ほとんど～ない
little,ほとんど～ない
hardly,ほとんど～ない
scarcely,ほとんど～ない
free,～がない
tax,税金
smoke,煙・タバコを吸う
barrier,障壁
nothing,なにも～ない
about,～について・約
around,～のまわりに
over,～の上に
under,～の下に
between,～の間に
among,～の間で
below,～の下に
above,～の上で
by,～の近くに・～までには
till,～までずっと
until,～までずっと
despite,～にもかかわらず
unlike,～と違って
beside,～のそばに
as,～として
but,～を除いて
during,～のあいだ
behind,～の後ろに
near,～の近くに
along,～に沿って
across,～を横切って
into,～の中へ
against,～に反対して
toward,～の方向へ
beyond,～の向こうに
within,～以内に
without,～なしで
both,両方の
either,どちらかの
neither,どちらも～でない
because,～だから
although,～だけれども
whether,～であろうとなかろうと
fact,事実
possibility,可能性
rumor,うわさ
belief,信じること
certainty,確かさ
conclusion,結論
confidence,自信
conviction,確信
feeling,感情
idea,考え
impression,印象
thought,考え
however,しかしながら・たとえどんなに～しても
nevertheless,それにもかかわらず
contrast,対照
contrary,反対・反対の
instead,その代わりに
indeed,実は
rather,むしろ
besides,そのうえ・～に加えて
moreover,そのうえ
finally,最後に
then,それから
instance,例
illustration,説明
so,だから
therefore,それゆえ
chalk,チョーク
bread,パン
water,水
sugar,砂糖
information,情報
homework,宿題
news,知らせ
housework,家事
progress,進歩・進歩する
traffic,交通量
behavior,振る舞い
money,お金
baggage,荷物類
furniture,家具類
police,警察
customer,顧客
passenger,乗客
consumer,消費者
client,依頼人
audience,聴衆
spectator,観客
guest,招待客
visitor,訪問者
shake,振る
asleep,眠って
alive,生きている
alike,似ている
mere,単なる
each,それぞれの・それぞれ（のもの）
every,どれも
resposible,責任がある
reliable,信頼できる
capable,能力がある
knowledgeable,精通している
respectable,立派な
edible,食べられる
possible,可能な
yearly,毎年の
timely,タイミングの良い
friendly,好意的な
home,家へ
here,ここへ
there,そこへ
abroad,外国へ
somewhere,どこか
east,東に
left,西に
upstairs,上の階へ
downstairs,下の階に
indoors,室内で
outdoors,外で
overnight,一夜のうちに
alone,一人で・～だけで
always,いつも
usually,たいてい
often,しばしば
frequently,しばしば
sometimes,ときどき
sometime,いつか
occasionally,ときどき
rarely,めったに～ない
seldom,めったに～ない
never,決して～ない
very,とても
too,あまりに～
enough,十分に・～なほど
also,～もまた
tell,言う
remind,思い出させる
say,言う
explain,説明する
apologize,謝る
rob,奪う
provide,供給する
supply,供給する
fill,満たす
share,共有する
mix,混ぜる
combine,組み合わせる
thank,感謝する
praise,褒める
blame,責める
criticize,批判する
punish,罰する
scold,叱る
prevent,妨げる
suggest,提案する
propose,提案する
recommend,勧める
request,頼む
require,要求する
think,考える・思う
dream,夢を見る
complain,不満を言う
sure,確信している
aware,気付いている
conscious,意識している
search,探す
substitute,代わりに使う
differ,異なる
depend,頼る
rely,頼る
insist,要求する
concentrate,集中する
distinguish,区別する
devote,捧げる
spend,費やす
congratulate,お祝いを伝える
suppose,思う
sell,売れる
kill,殺す
lend,貸す
rent,賃借りする・賃貸しする
borrow,借りる
match,似合う
suit,似合う
fit,合う
adopt,採用する
adapt,適応させる・順応する
quality,質
quantity,量
affect,影響を与える
effect,結果
though,～だけれども
through,～を通って
thorough,徹底的な
desert,砂漠・見捨てる
dessert,デザート
cooperation,協力
corporation,企業
staff,職員
stuff,物
college,大学
colleague,同僚
converse,会話する
conserve,保存する
interpret,通訳する
interrupt,邪魔をする
form,形・用紙
except,～を除いて
lessen,少なくする
lean,寄りかかる
respectful,敬意を払っていて
important,重要な
essential,重要な
significant,重要な・かなりの
fundamental,重要な
vital,重要な
central,重要な
lead,至る
cause,引き起こす・原因
factor,要因
anxious,心配して・切望して
cry,泣く
despair,絶望
grief,深い悲しみ
sentimental,感情に影響されやすい・涙もろい
miserable,みじめな
coward,臆病者
uneasy,不安な
worry,心配する
mad,怒って
tremble,震える
ugly,醜い
panic,慌てる
yell,叫ぶ
disturb,邪魔する
bother,悩ます
dull,退屈な
idle,怠けた
negaive,否定的な
pessimistic,悲観的な
positive,前向きな
optimistic,楽観的な
courage,勇気
glory,栄光
intimate,親密な
loyal,忠実な
modest,謙虚な
pure,純粋な
incredible,信じられない
quiet,静かな
mental,精神の
occur,起こる・心に浮かぶ
suddenly,突然に
fortune,財産・幸運
political,政治の
policy,方針
govern,支配する
government,政府
minister,大臣
mayor,市長
democracy,民主主義
majority,大多数・過半数
minority,少数派
conservative,保守的な
human rights,人権
economy,経済・節約
financial,財政の
consume,消費する
trade,貿易
aid,援助・援助する
proper,適切な
income,収入
outgo,支出
expenditure,支出
value,価値
stock,株式・在庫
exchange,交換する
profit,利益
fund,資金・基金
bill,請求書
benefit,利益
culture,文化
cultual background,文化的背景
civilization,文明
tradition,伝統
custom,習慣
diversity,多様性
characterize,特徴づける
typical,典型的な
context,文脈
race,民族
racism,人種差別（主義）
ethnic,民族の
native,本来その土地の
nationality,国籍
prejudice,先入観
bias,先入観
immigration,（外国からの）移住・入国
migration,移住
border,境界・国境
internal,内部の
identification,身元確認・身分証明書
complex,複雑な
religion,宗教
faith,信頼
legend,伝説
predict,予測する
foresee,予知する
slave,奴隷
royal,王室の
hierarchy,階層
language,言語
native language,母語
mother tongue,母語
linguist,言語学者
bilingual,バイリンガル
vocabulary,語彙
translate,翻訳する
derive,由来する
proverb,ことわざ
dialect,方言
fluent,流ちょうな
Esperanto,エスペラント（人口の国際語）
communicate,伝える
express,表現する
chat,おしゃべりする
oral,口頭の
verbal,言葉の
nonverbal,言葉を用いない
tone,調子
reaction,反応
react,反応する
response,反応
respond,反応する
reflect,反映する
community,地域社会
individual,個人の
behave,ふるまう
notice,気付く
laugh,笑う
laughter,笑い
