create,創り出す
increase,増加する
improve,向上させる
mean,意味する
own,"所有している,（事実・罪など）みとめる"
include,含む
consider,"見なす,について考える"
allow,"許す,与える,考慮に入れる"
suggest,"提案する,暗示する"
produce,生産する
decide,決める
offer,"提供する,申し出る"
require,"要求する,必要とする"
share,共有する
store,保存する
tend,傾向がある
concern,心配している
describe,"について述べる,説明する"
involve,関与させる
reduce,減らす
design,設計する
force,強いる
limit,制限する
bear,耐える
affect,影響を及ぼす
deal,処理する
avoid,避ける
relate,関連付ける
realize,気づく
encourage,奨励する
compare,比較する
measure,測る
exist,存在する
mark,印をつける
challenge,異議を唱える
depend,頼る
object,反対する
demand,要求する
found,設立する
complete,"完成させる,仕上げる"
idea,"考え,思いつき"
accord,一致
company,"会社,仲間"
interest,興味
research,研究　調査
cause,原因
reason,理由
effect,"影響,効果"
influence,影響
situation,状況
environment,環境
skill,技能
matter,事柄
view,見解
value,価値
species,（生物の）種
thought,考え
knowledge,知識
memory,記憶
practice,実践、実行、練習
benefit,利益、恩恵
theory,学説
issue,問題（点）
experiment,実験
article,記事
focus,焦点
subject,話題、科目、主題
project,計画
quality,質
role,役割
term,用語
statement,声明、主張
material,材料、素材
evidence,証拠
source,源
community,（共同）社会、～界
technology,科学技術
culture,文化・教養
appropriate,適切な
likely,ありそうな
possible,可能な
individual,個々の
public,公の
common,共通の
certain,確信して
similar,似ている・類似した
recent,最近の
major,主要な、大きい（方の）
patient,忍耐強い
particular,特定の
physical,身体の
various,さまざまな
available,手にはいる
native,出生地の
political,政治の
due,予定された
blank,空白の
ancient,古代の
correct,正しい
despite,にもかかわらず
notice,気づく
refer,言及する・関連する
approach,に近づく
wonder,かなと思う
imagine,想像する
recognize,識別する
solve,解決する
occur,起こる
argue,主張する
claim,主張する
express,あらわす・のべる
draw,引き出す
waste,浪費する・無駄にする
advance,進歩させる
spread,広める
prepare,準備する
gain,獲得する
achieve,達成する
establish,設立する・確立する
supply,供給する
suppose,思う
perform,行う・演じる
prefer,~の方を好む
determine,決定する
treat,扱う
prove,証明する
apply,適用する
mention,言及する
communicate,情報交換をする
contain,含む・収容する
contact,連絡を取る・接触する
regard,見なす
respect,尊敬する
search,探す
connect,つなぐ・関連付ける
decline,減少する
prevent,妨げる
suffer,苦しむ
survive,生き残る
publish,出版する
opportunity,機会
task,仕事・作業
industry,産業
medium,媒体
economy,経済
policy,政策・方針
account,説明・口座
trade,貿易・取引
model,模範・型
figure,数字・表・人物・図
cell,細胞
image,印・イメージ
emotion,感情・情動
stress,ストレス
decade,１０年間
range,範囲
character,性格・個性
advance,利点
phase,句
damage,損害・損傷
impact,影響
method,方法
resource,資源
region,地域
medicine,薬・医学
detail,詳細・細部
feature,特徴
function,機能
access,利用・入手
item,品目・項目
income,収入
attitude,態度・考え方
site,用地・場所
aspect,側面
structure,構造
habit,習慣・癖
link,関連・つながり
instance,例
positive,肯定的な
negative,否定的な
complex,複雑な
current,現在の
mental,精神の
specific,特定の
