vital,非常に重要な・生命の
vitality,生命力
vivid,鮮やかな
revive,を生き返らせる
revival,蘇生
essential,重要な・本質的な
essentially,本質的に
essence,本質
indispensable,必要不可欠な
dispense with,なしで済ます
crucial,決定的な
significance,重要性
signify,を意味する
significant,重要な・かなりの
significantly,かなり
consequence,結果・重要さ
consequent,結果として生じる
consequently,その結果
matter,問題・重要である
count,を数える・重要である
make a difference,重要である
trivial,ささいな
triviality,ささいな事
trifle,くだらない事
common,共通の・ありふれた
commonplace,ありふれた
ordinary,普通の
extraordinary,並はずれた
extraordinarily,並はずれて
familiar,よく知られた・精通している
familiarity,精通
emphasize,を強調する
emphasis,強調
emphatic,強調された
stress,を強調する・ストレス・重点
underline,を強調する
neglect,を怠る
negligence,怠慢
negligible,無視しうる
ignore,を無視する
be ignorant of,を知らない
ignorance,無知
eminent,著名な
eminence,高位
prominent,目立った
prominence,目立つこと
primary,第一の・主要な
primarily,第一に
prime,最高の・主要な
tiny,ちっぽけな
slight,わずかな
slightly,わずかに
character,性格・登場人物・文字
characterize,を特徴づける
characteristic,特徴・特徴的な
feature,特徴・を特集する
trait,特徴
typical,典型的な
typically,典型的に
unique,特有の・唯一の
peculiar,特有の・風変わりな
peculiarity,特性・風変わりな点
particular,特定の
particularly,特に
in　particular,特に
general,一般的な
generally,一般的に
generalize,を一般化する
generalization,一般化
in general,一般的に
specify,を特定する
specific,明確な・特定の
distinguish,を区別する
distinct,明確な・異なる
distinctive,独特な
distinction,区別
define,を定義する・明確にする
definite,明確な
definition,定義
definitely,絶対に
indefinite,不明確な
vague,曖昧な
vaguely,漠然と
obscure,不明瞭な・世に知られていない
obscurity,曖昧さ・世に知られていないこと
ambiguous,曖昧な
ambiguity,曖昧さ
obvious,明白な
obviously,明らかに
evident,明白な
evidently,明らかに
evidence,証拠・立証する
apparent,見たところの・明白な
apparently,見たところは
respect,を尊敬する・点
respectful,礼儀正しい
respectabale,ちゃんとした
respective,それぞれの
respectively,それぞれ
aspect,側面
detail,詳細
precise,正確な
precisely,正確に
precision,正確さ
accurate,正確な
accuracy,正確さ
detailed,詳細な
the main character,主役
Chinese characters,漢字
it is typical of A to do,～するとはAらしい
be unique to A,Aに特有の
distinguish A from B,AをBと区別する
in this respect,この点で
in detail,詳細に
structure,構造・骨格
construct,を建設する
reconstruct,を再建する
construction,建設
constructive,建設的な
destroy,を破壊する
destruction,破壊
destructive,破壊的な
architecture,建築
architect,建築家
constitute,を構成する・設立する
